Surface sensible+latent heat flux (Wm**-2),Surface downwelling shortwave flux (Wm**-2),Surface downwelling longwave flux (Wm**-2),Sea level pressure (hPa),Total precipitation (mm/day),Relative humidity averaged 1000-300hPa (%),U wind at 10 m (m s**-1),V wind at 10 m (m s**-1),TotalArc,Total cloud cover (%),Total column cloud water (g m**-2),GH_mean
-21.69210113,5.563406657000001,210.15593819999998,1013.796101,0.9455570879999999,76.28761558,-0.5919527139999999,-0.33663564700000004,11319686.0,85.24483095,47.74930579,5897.522672
-14.070724800000002,1.319845146,198.4210875,1011.555108,1.071692481,75.78373001,0.472885909,0.39143026799999997,13213142.0,86.45366072,48.70668588,5841.305794666667
-17.96761164,3.4622135989999996,190.6911699,1018.175441,0.801680672,72.35925032,-0.681387298,-0.6311318229999999,14963667.0,82.77900476,36.14370149,5902.939061
-16.92083866,20.09319823,183.16474399999998,1022.7149529999999,0.7592279820000001,74.26712511,0.091238131,-0.031071564,15771314.0,81.2775683,33.68149528,5894.256825
-20.96741853,71.11420251,193.04429240000002,1013.711726,0.801909992,74.41751395,0.325141884,0.014873553999999999,16137266.0,81.40036634,37.05725819,5853.175342
-27.01763355,160.0840169,211.7194626,1015.669513,0.742744271,71.74473006,-0.582529259,-0.507544401,15407986.0,79.98541365,38.27299604,5953.0558163333335
-29.08995089,228.87567740000003,257.3379192,1015.937727,0.852776602,69.90522076,-0.929197231,-0.575660531,14260927.0,80.01476604,60.42948224,6108.046035333334
-43.92456226,249.1007495,289.26818419999995,1013.343332,1.053604332,66.98523087,-0.341538079,-0.382618513,12445600.0,74.07094672,75.41639392,6211.822624666667
-41.12848357,199.79119780000002,307.7652043,1012.2320589999999,1.328394437,68.55747688,-0.5396142820000001,-0.407300833,10158967.0,78.04496501,104.06770420000001,6266.699674
-33.1790002,136.8348912,300.9969147,1011.519819,1.535066644,71.08773316,-0.195696985,-0.25988658,7504422.0,79.40761033,106.7230517,6213.206682
-22.32025543,71.09447708,278.9314487,1012.0029619999999,1.4630575069999998,73.7556988,0.152402813,-0.22759580399999998,6935105.0,81.06373313,91.7216882,6122.088678666667
-22.49676648,24.99039264,243.22227569999998,1009.947859,1.332761388,76.00006645,0.397327463,-0.053045990999999994,8915441.0,85.05302326,68.13841433,5971.629269666667
-21.40504923,5.501513071000001,216.70373909999998,1016.483208,1.165334072,74.65486976,-0.112161025,-0.238255418,11417014.0,84.30427066,53.79536376,5951.421112333333
-20.55324285,1.2829428459999999,199.436222,1017.615391,0.90633141,73.93597554,-1.628848139,-1.021780472,13249869.0,84.54465437,38.98109979,5909.522302
-17.29494074,3.420176863,183.8595625,1014.2985570000001,0.808842849,75.46073275,-0.450239424,-0.437710885,15119253.0,85.04811599,34.21688935,5819.7189419999995
-11.39795424,19.44744861,190.71842019999997,1018.209628,0.732788972,74.32760885,0.256406409,-0.030373451,15987907.0,81.89600999,35.96825148,5873.990073
-16.53866592,70.43162346,192.665458,1008.250034,0.8170961090000001,73.58097024,1.18877113,0.373436473,16163104.0,80.10643664,37.70839891,5813.453335333333
-25.75333667,156.21408590000001,216.32211459999996,1016.985101,0.817433071,71.06887309999999,0.129737691,-0.22168792899999998,15228300.0,79.75073419,43.268406799999994,5971.933502666667
-29.49129332,225.66161380000003,258.4926889,1014.6622980000001,0.895068043,71.27684679,-0.748081016,-0.448828302,13545526.0,80.39792940000001,63.25975387,6094.374479333333
-40.82693186,247.5172665,288.04995279999997,1009.4281,1.142740237,68.49978782,0.568227238,0.096137181,12139090.0,75.5463373,80.50036372,6184.972652333334
-41.64143567,202.061698,307.6560025,1011.513753,1.4047142730000002,69.49276917,-0.044677535,-0.201545593,10496259.0,77.65304203,105.7922087,6259.690005
-32.35314517,135.4480391,300.3629507,1012.1230699999999,1.552375988,71.91362511,-0.086400152,-0.268039819,8044575.0,80.53224861,111.00733600000001,6210.657751333333
-24.29870696,71.68626057,275.0450185,1011.6063550000001,1.5294917209999999,75.35064918,0.384314184,-0.123681952,7553857.0,82.55387436,90.02222859,6098.746249666667
-19.37937654,26.08828747,242.22389950000002,1008.2438289999999,1.342575076,75.69441309,0.753331132,0.200304111,9922179.0,84.57219283,67.99897370000001,5962.327094333334
-19.50096907,5.538497082,216.6053223,1011.697116,1.104940086,77.23452048,-0.135186675,-0.181998059,11811566.0,86.12729266,52.93433936,5890.308271666668
-19.884345,1.339627442,191.394775,1010.530875,0.96781442,74.12637112,-0.327104346,-0.25930606,13456959.0,84.44592547,39.42764382,5811.598186
-16.38586956,3.3594029080000003,187.7425834,1012.2700039999999,0.910411029,75.33663945,0.212325595,0.171571862,15277015.0,85.72599134,40.85610918,5823.420808
-19.05947672,18.99476289,182.4971316,1017.302673,0.7560467809999999,74.4246806,-0.478901055,-0.320581414,16209585.0,82.82319603,33.58524255,5867.918140000001
-18.26035476,71.25764681,190.3986495,1020.07968,0.7394619370000001,71.82518676,-0.078941233,-0.164977962,16017587.0,77.9237708,33.58147733,5916.605695333333
-21.96476716,158.50184040000002,214.7994639,1014.8408519999999,0.76054881,71.39119124,-0.36022241,-0.288025767,15384298.0,78.35992052,39.38033291,5965.000993999999
-30.26627904,229.74160600000002,255.42220719999997,1014.492339,0.881866185,70.93907751,-0.525540705,-0.40838994799999995,13845327.0,80.07961795,58.99881363,6087.503140666667
-40.12438732,244.1940094,288.830537,1013.2343710000001,1.1753769109999999,68.42179492,-0.880901824,-0.5405982189999999,12612457.0,77.92395798,83.23886101,6211.513012333334
-42.21266289,203.55295080000002,308.566,1011.750225,1.317041558,69.35519091,0.064103996,-0.145851566,10814849.0,77.09965133,102.8862369,6272.016480333333
-32.23451444,135.8307846,301.65838130000003,1014.0537109999999,1.4063351069999999,71.14353596,-0.142442016,-0.32955035,7717180.0,79.534758,106.6112187,6238.971261666667
-24.96686881,73.86785595,273.2142756,1011.0793980000001,1.2963252920000001,73.33788456,0.109429112,-0.29921418899999996,7512706.0,80.65906724,84.35508734,6092.446923333334
-18.37406689,25.48451864,245.9683585,1011.402147,1.278406189,75.1937993,0.576716621,0.084529047,9331817.0,84.61098215,70.89263506,6012.291899666667
-20.15552716,5.6810023439999995,206.8041408,1014.8792210000001,0.9811676029999999,76.72953641,0.102027218,-0.181204852,11590097.0,85.18840135,47.56203367,5908.857374
-20.83831126,1.2974223459999998,194.2202772,1012.426354,0.9474149159999999,76.19409119,-0.824426896,-0.500628502,13009546.0,86.02914309,43.80722559,5861.057384333334
-15.62071146,3.314909472,188.2623933,1010.4892369999999,0.8524380290000001,74.85333271,0.198838977,-0.061901697,15188190.0,83.39775507,38.53018001,5804.7537243333345
-10.80848203,19.15703209,190.8729745,1016.8828900000001,0.8073559090000001,73.84746256,0.09414835099999999,-0.11952157699999999,15732702.0,81.64199371,37.62188039,5863.5656069999995
-17.12278761,71.49756866,196.49731069999999,1016.802387,0.660786552,73.31462779,0.246195131,-0.251453965,16231491.0,79.83277882,35.09286935,5890.04396
-27.90151013,160.2560771,214.41265660000002,1015.912858,0.8360048590000001,70.87607338,-0.5419640729999999,-0.532454481,15315907.0,77.96995929,42.64006361,5954.545498
-30.63654964,228.2474463,260.6303892,1017.8300300000001,0.853204252,67.39355515,-1.178376389,-0.7204827779999999,13750518.0,78.80859392,61.77154029,6136.383297666667
-41.83590067,241.7417496,292.3910796,1010.9257060000001,1.238759268,68.40190843,0.270174405,-0.013681456000000002,12113514.0,76.84630146,87.6526219,6209.748667333333
-43.14516163,207.14667849999998,310.300608,1011.263285,1.4016066569999999,67.59435167,-0.151544271,-0.22430714300000001,10115785.0,74.80600501,101.3223603,6286.842646333334
-30.34219426,131.3317066,304.37185619999997,1008.9831740000001,1.568703751,71.72813896,0.013463619,-0.154210031,7985808.0,80.41971438,115.686595,6216.376443666667
-23.53374624,70.11358295,279.938539,1008.5227189999999,1.4773155669999998,74.20022324,1.0173366,0.169091959,7529886.0,80.69856866,93.87835892,6102.669396333334
-21.69194295,25.19118633,242.7365136,1010.367656,1.299312971,74.55770989,0.5999604129999999,0.011554623,9508883.0,82.75996347,65.19565942,5982.4745386666655
-21.27577051,5.3852084929999995,207.44315419999998,1011.5228689999999,1.034417736,76.37268809999999,-0.13476385300000002,-0.370072402,11727820.0,85.10457192,47.71112159,5882.737473
-15.32991411,1.311235746,196.8601367,1006.9688560000001,1.012499673,77.15746378,1.216438752,0.266418754,13873842.0,84.42385116,43.08178717,5807.924473666666
-14.90435203,3.5589485130000003,179.575603,1005.7750560000001,0.999660707,78.6053147,1.020820418,0.39714370600000004,15227711.0,84.91027111,39.55458824,5716.142722333334
-14.85221815,18.92624796,197.50286630000002,1006.7934140000001,1.129712461,76.34006483,0.9919919970000001,0.428779851,15670791.0,84.08658176,45.71937112,5785.477254
-16.83540756,70.67485971,197.9224396,1011.9520130000001,0.843048288,73.43758626,0.519311569,0.083373011,15621569.0,79.73950773,38.50619685,5865.514219666667
-19.217712,158.8894626,220.1010201,1017.581176,0.75878959,70.27272878,-0.23593730899999998,-0.30223808,14526319.0,76.55945422,43.63125382,6012.065537666666
-31.57682757,228.15218990000002,257.6776365,1014.2799890000001,1.032345797,71.39047559999999,0.043265325,-0.153476645,13048365.0,79.76273145,62.90555143,6088.692176333334
-42.63040809,247.48000499999998,290.61694730000005,1011.4003880000001,1.24541159,69.45344664,1.028440931,0.25873225,12372855.0,76.28764029,81.12904152,6199.333280666666
-41.0160665,197.10655930000001,309.8563963,1008.3668130000001,1.5853064590000001,70.15567273,1.32357447,0.43754835200000003,10467050.0,78.35764249,118.86194440000001,6249.9451303333335
-31.48489103,135.0126267,304.2803668,1008.462017,1.568940591,71.82379742,0.119129792,-0.09672168099999999,7996732.0,78.59786,111.5404605,6210.299660333333
-23.38987016,70.05927306,280.6367393,1008.370829,1.5777692890000001,74.34937777,0.874912997,0.18278702600000002,7082278.0,82.56335787,98.01007667,6097.6755809999995
-20.4559909,25.08272442,242.987915,1009.4323630000001,1.225651101,76.96682719,0.11861551099999999,-0.196946066,9548262.0,85.33340582,65.66562043,5973.407342000001
-18.27678022,5.468978152999999,207.051399,1012.578481,1.04679496,75.65183891,0.297956089,-0.031657313,11565367.0,83.91187990000002,51.17200213,5886.510672666666
-18.01803436,1.322667988,194.7717921,1012.243262,0.92121576,74.28124976,0.007573081,-0.300960657,13571420.0,82.26310663,39.42644119,5854.922857666667
-14.121755100000001,3.4899188580000002,187.99862130000002,1011.918776,0.859605301,76.96593137,-0.520977376,-0.16932757899999998,15068129.0,85.29980347,36.7236162,5801.774784666667
-13.39959531,19.59828843,186.5425784,1007.32121,0.8938097540000001,75.58897413,0.567750854,0.247557597,15687335.0,82.14758769,37.61237944,5765.148165333333
