,CSP_TKE_RS,CSP_TKE_SH,CSP_TKE_BU,CSP_TKE_TR,CSP_TKE_DI,CSP_TKE_SGS,CSP_TKE,CSP_TKE_TEND,CSP_P
70,4.024432e-07,-1.288455e-11,3.9079373e-10,0.0,0.0,0.0,4.024432e-07,3.6502462e-10,68631.7
71,4.1351154e-07,-1.9102248e-11,4.1008846e-10,0.0,0.0,0.0,4.1351154e-07,3.7188397e-10,68631.7
72,4.236478e-07,-2.020105e-11,4.4231807e-10,0.0,0.0,0.0,4.236478e-07,4.0191594e-10,68631.695
73,4.2595894e-07,-2.3800004e-11,4.749311e-10,0.0,0.0,0.0,4.2595894e-07,4.2733106e-10,68631.695
74,4.2422735e-07,-2.9357024e-11,5.0488613e-10,0.0,0.0,0.0,4.2422735e-07,4.461721e-10,68631.695
75,4.254391e-07,-3.550623e-11,5.1984866e-10,0.0,0.0,0.0,4.254391e-07,4.4883622e-10,68631.69
76,4.2576062e-07,-4.334245e-11,5.2074584e-10,0.0,0.0,0.0,4.2576062e-07,4.3406095e-10,68631.68
77,4.2809936e-07,-4.8554487e-11,5.100567e-10,0.0,0.0,0.0,4.2809936e-07,4.1294773e-10,68631.68
78,4.2958823e-07,-4.7166833e-11,4.985593e-10,0.0,0.0,0.0,4.2958823e-07,4.0422565e-10,68631.68
79,4.345218e-07,-5.0390553e-11,4.871421e-10,0.0,0.0,0.0,4.345218e-07,3.86361e-10,68631.67
80,4.389893e-07,-5.0017514e-11,4.4307097e-10,0.0,0.0,0.0,4.389893e-07,3.4303593e-10,68631.664
81,4.38891e-07,-4.9346412e-11,4.5798387e-10,0.0,0.0,0.0,4.38891e-07,3.5929104e-10,68631.66
82,4.4235307e-07,-3.9220006e-11,4.7953846e-10,0.0,0.0,0.0,4.4235307e-07,4.0109843e-10,68631.66
83,4.5019408e-07,-3.312404e-11,4.6905174e-10,0.0,0.0,0.0,4.5019408e-07,4.0280368e-10,68631.65
84,4.5990453e-07,-3.584014e-11,4.437332e-10,0.0,0.0,0.0,4.5990453e-07,3.7205292e-10,68631.64
85,4.612913e-07,-3.345082e-11,4.474609e-10,0.0,0.0,0.0,4.612913e-07,3.8055925e-10,68631.63
86,4.574085e-07,-1.6523487e-11,4.702633e-10,0.0,0.0,0.0,4.574085e-07,4.3721632e-10,68631.625
87,4.5419833e-07,2.6110138e-12,5.211895e-10,0.0,0.0,0.0,4.5419833e-07,5.264115e-10,68631.625
88,4.544231e-07,1.1854947e-11,5.3865723e-10,0.0,0.0,0.0,4.544231e-07,5.6236715e-10,68631.62
89,4.550325e-07,6.6406867e-12,5.114946e-10,0.0,0.0,0.0,4.550325e-07,5.24776e-10,68631.6
90,4.5497347e-07,1.1044551e-12,4.8247756e-10,0.0,0.0,0.0,4.5497347e-07,4.8468646e-10,68631.59
91,4.5440402e-07,1.2054194e-12,4.8369747e-10,0.0,0.0,0.0,4.5440402e-07,4.861083e-10,68631.586
